BrandName,Product ID,Product Name,Brand Desc,Product Size,Currancy,MRP,SellPrice,Discount,Category
4711,FR001,Cologne Fragrance,ekw eau de cologne 400 ml,Small,Rs.,3900,3120,20% off,Fragrance-Women
109f,DRW1,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,"Size:Medium,Small,X-Large,XX-Large",Rs.,1899,569,70% off,Westernwear-Women
109f,DRW2,DRW2 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW3,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,"Size:Medium,Small",Rs.,1599,639,60% off,Westernwear-Women
109f,DRW4,DRW4 - Westernwear-Women,womens round neck solid high low top - black,"Size:Large,Medium,Small,X-Large",Rs.,1199,479,60% off,Westernwear-Women
109f,DRW5,DRW5 - Westernwear-Women,womens v-neck solid top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199,479,60% off,Westernwear-Women
109f,DRW6,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,"Size:Small,X-Large",Rs.,1299,519,60% off,Westernwear-Women
109f,DRW7,DRW7 - Westernwear-Women,womens v neck checked top - black,"Size:Large,Medium,Small",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW8,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,Size:Medium,Rs.,1799,719,60% off,Westernwear-Women
109f,DRW9,DRW9 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,999,399,60% off,Westernwear-Women
109f,DRW10,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1299,519,60% off,Westernwear-Women
109f,DRW11,DRW11 - Westernwear-Women,womens round neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,2499,999,60% off,Westernwear-Women
109f,DRW12,DRW12 - Westernwear-Women,womens mandarin collar solid eyelet skater dress - green,"Size:X-Large,XX-Large",Rs.,3499,1399,60% off,Westernwear-Women
109f,DRW13,DRW13 - Westernwear-Women,womens off shoulder solid shift dress - blue,"Size:Small,X-Small",Rs.,1799,539,70% off,Westernwear-Women
109f,DRW14,DRW14 - Westernwear-Women,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1999,799,60% off,Westernwear-Women
109f,DRW15,DRW15 - Westernwear-Women,womens 2 pocket solid pants - navy,"Size:Small,X-Small",Rs.,1899,759,60% off,Westernwear-Women
109f,DRW16,DRW16 - Westernwear-Women,womens ruffled collar self printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW17,DRW17 - Westernwear-Women,womens round neck solid top - birch,Size:X-Small,Rs.,1199,479,60% off,Westernwear-Women
109f,DRW18,DRW18 - Westernwear-Women,womens round neck solid knee length dress - black,Size:X-Small,Rs.,1999,799,60% off,Westernwear-Women
109f,DRW19,DRW19 - Westernwear-Women,womens scoop neck lace top - dark brown,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Rs.,1799,719,60% off,Westernwear-Women
109f,DRW20,DRW20 - Westernwear-Women,printed polyester cowl neck womens dress - multi,"Size:Large,Medium,X-Large",Rs.,2418.9,2199,10% off,Westernwear-Women
109f,DRW21,DRW21 - Westernwear-Women,printed rayon round neck womens top - print,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW22,DRW22 - Westernwear-Women,womens round neck textured maxi dress - black,"Size:Large,Small",Rs.,2899,1159,60% off,Westernwear-Women
109f,DRW23,DRW23 - Westernwear-Women,solid polyester halter neck womens top - olive,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women
